"meth_diff"	"meth_sd"	"n"	"case_prop"	"power"	"avg_or_persd"	"min_or_persd"	"max_or_persd"	"K"
0.01	0.05	3000	0.12	0.0324	1.22274206946126	0.985002467724374	1.54898786646649	"0.12"
0.01	0.05	3000	0.33	0.4122	1.22166364518275	1.0405958247562	1.43711882622817	"0.33"
0.01	0.05	3500	0.12	0.0648	1.21951542361094	1.00976280556466	1.48272091442785	"0.12"
0.01	0.05	3500	0.33	0.5712	1.22101653461543	1.0629319566403	1.38361791923398	"0.33"
0.01	0.05	4000	0.12	0.1086	1.22142330288576	1.01878872353195	1.43512142857702	"0.12"
0.01	0.05	4000	0.33	0.7314	1.22222308985769	1.0879218102849	1.35913256883012	"0.33"
0.01	0.05	4500	0.12	0.1684	1.22287005719729	1.03333606852983	1.47423705057099	"0.12"
0.01	0.05	4500	0.33	0.8292	1.22127596754513	1.06969677633939	1.36783115624343	"0.33"
0.01	0.05	5000	0.12	0.2154	1.22208950756234	1.04924813099889	1.43123692036686	"0.12"
0.01	0.05	5000	0.33	0.9004	1.22167484312541	1.11749829666933	1.3706146979997	"0.33"
0.01	0.05	5500	0.12	0.3016	1.22245254390021	1.0408668626479	1.41397065029572	"0.12"
0.01	0.05	5500	0.33	0.9534	1.22144781443255	1.09847558849136	1.35881845444282	"0.33"
0.01	0.05	6000	0.12	0.3746	1.22122247043699	1.06899105839736	1.39697644917041	"0.12"
0.01	0.05	6000	0.33	0.9728	1.22216389938602	1.08747710877989	1.36598947001794	"0.33"
0.01	0.1	3000	0.12	4e-04	1.10661089167279	0.900468910355067	1.38804442129338	"0.12"
0.01	0.1	3000	0.33	0.0038	1.10528758870388	0.964841738102841	1.26376543155102	"0.33"
0.01	0.1	3500	0.12	8e-04	1.10655892297635	0.901585122479773	1.33916038356609	"0.12"
0.01	0.1	3500	0.33	0.004	1.1045787338515	0.979401794078548	1.27394593624139	"0.33"
0.01	0.1	4000	0.12	4e-04	1.10548423097776	0.916457921442226	1.31897344118393	"0.12"
0.01	0.1	4000	0.33	0.01	1.10528290701883	0.961521580556696	1.271917927761	"0.33"
0.01	0.1	4500	0.12	6e-04	1.10639341787773	0.948566462270961	1.36688348405128	"0.12"
0.01	0.1	4500	0.33	0.0132	1.10481589974808	0.989227641663915	1.23375463721258	"0.33"
0.01	0.1	5000	0.12	0.0012	1.10549241058276	0.944699190646541	1.29331642218616	"0.12"
0.01	0.1	5000	0.33	0.0214	1.10598345716883	0.990264141774766	1.23087836811415	"0.33"
0.01	0.1	5500	0.12	0.0022	1.10406571667825	0.971080012456375	1.2877812484515	"0.12"
0.01	0.1	5500	0.33	0.0314	1.10468253887466	0.978969534626822	1.20899051400931	"0.33"
0.01	0.1	6000	0.12	0.0022	1.10584979540663	0.961521699102838	1.28203922559515	"0.12"
0.01	0.1	6000	0.33	0.0448	1.10454220240698	0.994575576271994	1.21809008550166	"0.33"
0.01	0.15	3000	0.12	0	1.06812593365449	0.875324921141985	1.30829122775201	"0.12"
0.01	0.15	3000	0.33	0	1.06915803543214	0.93141288028731	1.23186309302891	"0.33"
0.01	0.15	3500	0.12	0	1.06941379984905	0.892883568173364	1.29152927382512	"0.12"
0.01	0.15	3500	0.33	0	1.06925119664109	0.932465513828095	1.20528157421586	"0.33"
0.01	0.15	4000	0.12	0	1.06877426296987	0.906333407170396	1.2685726501431	"0.12"
0.01	0.15	4000	0.33	2e-04	1.06863113270856	0.940380382501113	1.2096334179449	"0.33"
0.01	0.15	4500	0.12	0	1.0695927237264	0.912315890929743	1.25830421196383	"0.12"
0.01	0.15	4500	0.33	6e-04	1.06931450635922	0.950690205534904	1.20124164075735	"0.33"
0.01	0.15	5000	0.12	0	1.07013027857642	0.922017949891969	1.26256060047086	"0.12"
0.01	0.15	5000	0.33	2e-04	1.0696722394545	0.955073715407712	1.18269961751238	"0.33"
0.01	0.15	5500	0.12	0	1.06989859250728	0.926962836383747	1.24215542690958	"0.12"
0.01	0.15	5500	0.33	8e-04	1.06920813871496	0.97403893630341	1.19337513372587	"0.33"
0.01	0.15	6000	0.12	0	1.06925995195141	0.913695708936122	1.21817287803365	"0.12"
0.01	0.15	6000	0.33	0.001	1.06840586614266	0.982974558847134	1.17212712807971	"0.33"
0.01	0.2	3000	0.12	0	1.05206042833212	0.862569085859093	1.28615162430683	"0.12"
0.01	0.2	3000	0.33	0	1.05253790080563	0.902627493107217	1.21393668508145	"0.33"
0.01	0.2	3500	0.12	0	1.05156484841825	0.883957184356091	1.30607771776499	"0.12"
0.01	0.2	3500	0.33	0	1.0513715437657	0.931053875589062	1.19612412866184	"0.33"
0.01	0.2	4000	0.12	0	1.05099844967151	0.870273493978761	1.26780318798538	"0.12"
0.01	0.2	4000	0.33	2e-04	1.05164528239162	0.915846348612515	1.20245153979179	"0.33"
0.01	0.2	4500	0.12	0	1.05149665342118	0.889235167094072	1.23282014786855	"0.12"
0.01	0.2	4500	0.33	0	1.05220048966841	0.941607207330372	1.17938404038183	"0.33"
0.01	0.2	5000	0.12	0	1.0515832882634	0.908723399243027	1.24698118119956	"0.12"
0.01	0.2	5000	0.33	2e-04	1.05142466406351	0.933261015729091	1.18303039456881	"0.33"
0.01	0.2	5500	0.12	0	1.0520611975742	0.910615377326921	1.19995149768737	"0.12"
0.01	0.2	5500	0.33	4e-04	1.05082004350045	0.94002575193901	1.18525368126149	"0.33"
0.01	0.2	6000	0.12	0	1.05049818446648	0.91862988771585	1.21846774095059	"0.12"
0.01	0.2	6000	0.33	2e-04	1.05095652146688	0.957464252544344	1.16108468266821	"0.33"
0.02	0.05	3000	0.12	0.9614	1.49542800914532	1.21340905752224	1.87978868958468	"0.12"
0.02	0.05	3000	0.33	1	1.49254705999264	1.2897345121293	1.7093843338125	"0.33"
0.02	0.05	3500	0.12	0.9888	1.49073146519238	1.2240038156157	1.80797692642519	"0.12"
0.02	0.05	3500	0.33	1	1.49194304321702	1.31066473174621	1.74799395588885	"0.33"
0.02	0.05	4000	0.12	0.9968	1.49095008479622	1.24559509664573	1.81907702760757	"0.12"
0.02	0.05	4000	0.33	1	1.4921637612594	1.31925065593073	1.69700520199874	"0.33"
0.02	0.05	4500	0.12	0.9998	1.49021118018665	1.27230544517484	1.74818042348129	"0.12"
0.02	0.05	4500	0.33	1	1.49105395768827	1.29679634493407	1.68399180757112	"0.33"
0.02	0.05	5000	0.12	0.9998	1.49120873070029	1.24376472691568	1.80085049787231	"0.12"
0.02	0.05	5000	0.33	1	1.49196862993387	1.33408669373554	1.66878745641642	"0.33"
0.02	0.05	5500	0.12	1	1.49159234814487	1.28765464643529	1.74410743593298	"0.12"
0.02	0.05	5500	0.33	1	1.49198032074049	1.32996003587965	1.69555477956108	"0.33"
0.02	0.05	6000	0.12	1	1.49094365680972	1.30813357052004	1.76277792414256	"0.12"
0.02	0.05	6000	0.33	1	1.4913494389616	1.34750917492264	1.64850505683834	"0.33"
0.02	0.1	3000	0.12	0.033	1.22173892243056	1.01303550304825	1.47388125739703	"0.12"
0.02	0.1	3000	0.33	0.4148	1.22193997800423	1.0708928478093	1.40697056137659	"0.33"
0.02	0.1	3500	0.12	0.067	1.22268866706249	1.03140713571179	1.45683098246899	"0.12"
0.02	0.1	3500	0.33	0.5638	1.21995289421215	1.06634128081806	1.42941688962035	"0.33"
0.02	0.1	4000	0.12	0.1158	1.22132392610911	0.985009341968936	1.43364391738777	"0.12"
0.02	0.1	4000	0.33	0.7252	1.22175879671844	1.08365520411589	1.38898494546324	"0.33"
0.02	0.1	4500	0.12	0.1614	1.22187588383058	1.00576821934433	1.46510567555766	"0.12"
0.02	0.1	4500	0.33	0.8334	1.22202928246476	1.06280972812207	1.36556330772413	"0.33"
0.02	0.1	5000	0.12	0.222	1.22112040568732	1.03909787908034	1.41557830715814	"0.12"
0.02	0.1	5000	0.33	0.906	1.22208182765872	1.10270615907885	1.36215233833865	"0.33"
0.02	0.1	5500	0.12	0.3064	1.2229375359447	1.05524822659884	1.42191652706949	"0.12"
0.02	0.1	5500	0.33	0.9456	1.21962211062269	1.09683782537244	1.34259912408095	"0.33"
0.02	0.1	6000	0.12	0.3788	1.22217903015799	1.06163746535473	1.39972611152304	"0.12"
0.02	0.1	6000	0.33	0.9692	1.22118957362018	1.09262887506866	1.33497952842376	"0.33"
0.02	0.15	3000	0.12	0.0026	1.14105848860384	0.935562576748307	1.44590224421723	"0.12"
0.02	0.15	3000	0.33	0.024	1.1425777944048	0.976481596316305	1.31210092331903	"0.33"
0.02	0.15	3500	0.12	0.0022	1.14061684839491	0.96611134453892	1.37876828648956	"0.12"
0.02	0.15	3500	0.33	0.0546	1.14231634657786	1.00452637423859	1.30746156362627	"0.33"
0.02	0.15	4000	0.12	0.005	1.1423011231036	0.973961574079158	1.4365176105405	"0.12"
0.02	0.15	4000	0.33	0.0798	1.14269244669317	1.01493693409752	1.2997987469042	"0.33"
0.02	0.15	4500	0.12	0.007	1.14080906376174	0.968972779088426	1.37255761271095	"0.12"
0.02	0.15	4500	0.33	0.1324	1.14319020490584	1.02487011020236	1.27741445109521	"0.33"
0.02	0.15	5000	0.12	0.0092	1.14288449338543	0.971088123010273	1.33179090713369	"0.12"
0.02	0.15	5000	0.33	0.178	1.14296560412273	1.02776414317466	1.26622224007782	"0.33"
0.02	0.15	5500	0.12	0.0146	1.14363007091217	0.986155864771731	1.35339641518804	"0.12"
0.02	0.15	5500	0.33	0.2378	1.1421318602705	1.01805190247539	1.26950220838711	"0.33"
0.02	0.15	6000	0.12	0.0208	1.14202643394204	1.01025703418896	1.32124093122138	"0.12"
0.02	0.15	6000	0.33	0.3092	1.14163180381446	1.03982428144632	1.28228789872967	"0.33"
0.02	0.2	3000	0.12	0	1.10521637600296	0.91278591333052	1.34048782553464	"0.12"
0.02	0.2	3000	0.33	0.0034	1.10579832712398	0.966183588523936	1.27208126147027	"0.33"
0.02	0.2	3500	0.12	2e-04	1.10328624547135	0.901924823382581	1.32573703985135	"0.12"
0.02	0.2	3500	0.33	0.0052	1.10552507691422	0.97110747830266	1.26131480561	"0.33"
0.02	0.2	4000	0.12	0	1.1056661485411	0.936758265974263	1.29611021751903	"0.12"
0.02	0.2	4000	0.33	0.0074	1.10546990306692	0.967425629312287	1.26565512390134	"0.33"
0.02	0.2	4500	0.12	8e-04	1.10343380012377	0.938910916242785	1.30403111064451	"0.12"
0.02	0.2	4500	0.33	0.0108	1.10494072574512	0.989141667955942	1.24275146479974	"0.33"
0.02	0.2	5000	0.12	0.0014	1.10457907720338	0.945902466959877	1.30289427133801	"0.12"
0.02	0.2	5000	0.33	0.0192	1.105823153591	0.998726424868641	1.23034050701853	"0.33"
0.02	0.2	5500	0.12	0.002	1.10528312975842	0.954685219589316	1.29327766424526	"0.12"
0.02	0.2	5500	0.33	0.0358	1.10556090890792	1.0008337784698	1.23284933977989	"0.33"
0.02	0.2	6000	0.12	0.0026	1.10550171698791	0.954397467689734	1.29432260473688	"0.12"
0.02	0.2	6000	0.33	0.0408	1.10535975094561	0.997378682901677	1.23137990964135	"0.33"
0.03	0.05	3000	0.12	1	1.82063953274574	1.48538191783574	2.32286482149682	"0.12"
0.03	0.05	3000	0.33	1	1.82121655702034	1.54515714832245	2.09980729490178	"0.33"
0.03	0.05	3500	0.12	1	1.82301130846188	1.50484835432791	2.1944743303328	"0.12"
0.03	0.05	3500	0.33	1	1.82524520122609	1.58762019339494	2.14029475518342	"0.33"
0.03	0.05	4000	0.12	1	1.82228992022799	1.54027584615702	2.16887551541986	"0.12"
0.03	0.05	4000	0.33	1	1.82325031986715	1.60907878208989	2.14435292089779	"0.33"
0.03	0.05	4500	0.12	1	1.82105792184984	1.53728260031188	2.20977900915988	"0.12"
0.03	0.05	4500	0.33	1	1.82253839116396	1.59336903606074	2.06676188103413	"0.33"
0.03	0.05	5000	0.12	1	1.82061919176666	1.53656680889014	2.13701734712298	"0.12"
0.03	0.05	5000	0.33	1	1.82146014413286	1.61745478108732	2.05786482562684	"0.33"
0.03	0.05	5500	0.12	1	1.82552166193606	1.55142104522295	2.19366589882281	"0.12"
0.03	0.05	5500	0.33	1	1.82207179184624	1.60903998234505	2.0639237466737	"0.33"
0.03	0.05	6000	0.12	1	1.82473400267926	1.57983353179361	2.11424477108446	"0.12"
0.03	0.05	6000	0.33	1	1.82140765129928	1.64239806044748	2.04188184248606	"0.33"
0.03	0.1	3000	0.12	0.4932	1.35080211943795	1.11348981925739	1.72972159603431	"0.12"
0.03	0.1	3000	0.33	0.9888	1.34908745326221	1.18001013431954	1.54600341050112	"0.33"
0.03	0.1	3500	0.12	0.6538	1.3500129388626	1.11558061637574	1.64674992199432	"0.12"
0.03	0.1	3500	0.33	0.998	1.34956039609174	1.17704459315802	1.54727427302585	"0.33"
0.03	0.1	4000	0.12	0.781	1.3490848866903	1.13224767773806	1.6131294749563	"0.12"
0.03	0.1	4000	0.33	0.9994	1.34998785476282	1.17944619317794	1.5562890955605	"0.33"
0.03	0.1	4500	0.12	0.877	1.35186831038792	1.12539343616883	1.59106127394994	"0.12"
0.03	0.1	4500	0.33	1	1.34985802213147	1.18900837494475	1.5565584002155	"0.33"
0.03	0.1	5000	0.12	0.9338	1.35026744067285	1.15359213815984	1.57960745022085	"0.12"
0.03	0.1	5000	0.33	1	1.35145773922914	1.19785558012861	1.50732304069363	"0.33"
0.03	0.1	5500	0.12	0.9692	1.34958178080663	1.15119681736036	1.56319838863853	"0.12"
0.03	0.1	5500	0.33	1	1.35090735898069	1.20464871086055	1.49051918334174	"0.33"
0.03	0.1	6000	0.12	0.9838	1.34814168812706	1.17065538235633	1.53684107786259	"0.12"
0.03	0.1	6000	0.33	1	1.34819674332847	1.20054146773262	1.49987987026806	"0.33"
0.03	0.15	3000	0.12	0.034	1.22142379106961	1.01107292822798	1.53664947622657	"0.12"
0.03	0.15	3000	0.33	0.419	1.22161888764854	1.05699681900348	1.40949209098514	"0.33"
0.03	0.15	3500	0.12	0.064	1.21968701454229	0.999899180072671	1.52513672558647	"0.12"
0.03	0.15	3500	0.33	0.5612	1.21912859421029	1.06817797482347	1.3864986002229	"0.33"
0.03	0.15	4000	0.12	0.1062	1.22192756334829	1.01941879361587	1.48189575433419	"0.12"
0.03	0.15	4000	0.33	0.7158	1.21988238724256	1.07114576384885	1.39078696485543	"0.33"
0.03	0.15	4500	0.12	0.151	1.22192960688621	1.03515204581473	1.43651574953898	"0.12"
0.03	0.15	4500	0.33	0.8358	1.2214076115986	1.0990461962872	1.37272458336762	"0.33"
0.03	0.15	5000	0.12	0.227	1.22127405040432	1.03225361756475	1.4361561819125	"0.12"
0.03	0.15	5000	0.33	0.8986	1.22103588784302	1.09223255663932	1.36949534777939	"0.33"
0.03	0.15	5500	0.12	0.29	1.21880118493329	1.04712503474114	1.44451818224763	"0.12"
0.03	0.15	5500	0.33	0.95	1.22191519610567	1.0923482943221	1.36341144916491	"0.33"
0.03	0.15	6000	0.12	0.3686	1.22093792096894	1.050657092542	1.41390897674108	"0.12"
0.03	0.15	6000	0.33	0.9752	1.22136337295604	1.11390563988751	1.35425430912882	"0.33"
0.03	0.2	3000	0.12	0.0026	1.16160604839007	0.963355747955395	1.42225482684786	"0.12"
0.03	0.2	3000	0.33	0.0692	1.16341616913609	1.00224194599508	1.3321706629315	"0.33"
0.03	0.2	3500	0.12	0.0064	1.16184742959249	0.928450027914623	1.39067853790836	"0.12"
0.03	0.2	3500	0.33	0.1186	1.16270924672297	1.02349433385962	1.32960864013701	"0.33"
0.03	0.2	4000	0.12	0.009	1.16201912734736	0.987787613374421	1.36289280744415	"0.12"
0.03	0.2	4000	0.33	0.186	1.16269541722806	1.03097082511659	1.31582953902949	"0.33"
0.03	0.2	4500	0.12	0.0202	1.16289793737585	0.983379712436185	1.3807883433375	"0.12"
0.03	0.2	4500	0.33	0.2656	1.16196199525051	1.04670966745301	1.29969339262069	"0.33"
0.03	0.2	5000	0.12	0.0256	1.16213256620613	0.998485100479485	1.35153490230594	"0.12"
0.03	0.2	5000	0.33	0.3522	1.16219157402938	1.0317466649605	1.31126100704495	"0.33"
0.03	0.2	5500	0.12	0.0436	1.16158777895793	1.00365335460234	1.34089441681633	"0.12"
0.03	0.2	5500	0.33	0.4668	1.16323608206744	1.03784632259515	1.29701910176995	"0.33"
0.03	0.2	6000	0.12	0.0572	1.16096292046692	1.02088913610096	1.34047629054257	"0.12"
0.03	0.2	6000	0.33	0.5444	1.16222015331913	1.03063031032243	1.30550576491113	"0.33"
0.04	0.05	3000	0.12	1	2.22556910628699	1.83375873571941	2.85871408063515	"0.12"
0.04	0.05	3000	0.33	1	2.22719374492743	1.9230745601228	2.64092766117952	"0.33"
0.04	0.05	3500	0.12	1	2.2240206235735	1.79513975592807	2.7478354165894	"0.12"
0.04	0.05	3500	0.33	1	2.22823795854189	1.95189247885759	2.6013911913149	"0.33"
0.04	0.05	4000	0.12	1	2.22561092808134	1.83098828292308	2.70946451144927	"0.12"
0.04	0.05	4000	0.33	1	2.22541759443815	1.98671210756998	2.56324645336537	"0.33"
0.04	0.05	4500	0.12	1	2.22894988831259	1.81839039437529	2.71274101248551	"0.12"
0.04	0.05	4500	0.33	1	2.22227396687889	1.9447541245756	2.52209112886136	"0.33"
0.04	0.05	5000	0.12	1	2.22740327149524	1.92967894974237	2.68093366181068	"0.12"
0.04	0.05	5000	0.33	1	2.22371551861417	1.98072796628061	2.52054732973325	"0.33"
0.04	0.05	5500	0.12	1	2.22717754077543	1.89381147748644	2.58089143450978	"0.12"
0.04	0.05	5500	0.33	1	2.22533282055238	1.96982240926808	2.57297280425778	"0.33"
0.04	0.05	6000	0.12	1	2.22627123094755	1.94558744975552	2.71190930641873	"0.12"
0.04	0.05	6000	0.33	1	2.22416526776238	2.0085546980922	2.52291387217747	"0.33"
0.04	0.1	3000	0.12	0.955	1.49071264950556	1.2291464251998	1.81998019954385	"0.12"
0.04	0.1	3000	0.33	1	1.49138517178013	1.28804971147637	1.73538836248106	"0.33"
0.04	0.1	3500	0.12	0.989	1.49157403535906	1.22759867429847	1.78247547890174	"0.12"
0.04	0.1	3500	0.33	1	1.49204096738447	1.29362742502143	1.68828517224185	"0.33"
0.04	0.1	4000	0.12	0.9982	1.49174709678792	1.27165989817306	1.81791087474709	"0.12"
0.04	0.1	4000	0.33	1	1.49166733655688	1.32465664881981	1.73708421818302	"0.33"
0.04	0.1	4500	0.12	0.9998	1.49333153757684	1.24032661494596	1.77305741464384	"0.12"
0.04	0.1	4500	0.33	1	1.48992499431209	1.33055456125926	1.68583083767154	"0.33"
0.04	0.1	5000	0.12	1	1.48976828866136	1.27306562050025	1.74918912447358	"0.12"
0.04	0.1	5000	0.33	1	1.49115130180675	1.3365557716639	1.66206984887683	"0.33"
0.04	0.1	5500	0.12	1	1.49095001966028	1.26035704493104	1.80136008336156	"0.12"
0.04	0.1	5500	0.33	1	1.49051783438569	1.32819205175986	1.65094389127384	"0.33"
0.04	0.1	6000	0.12	1	1.49216896191092	1.27040614211742	1.73685502210097	"0.12"
0.04	0.1	6000	0.33	1	1.49266286997972	1.34929681575459	1.66536794811703	"0.33"
0.04	0.15	3000	0.12	0.253	1.30577065478168	1.1058443692341	1.66025411172594	"0.12"
0.04	0.15	3000	0.33	0.9326	1.30607292193783	1.12122863415462	1.48924540929738	"0.33"
0.04	0.15	3500	0.12	0.3898	1.30240237056925	1.05148999476408	1.6091332061914	"0.12"
0.04	0.15	3500	0.33	0.9796	1.304466485387	1.14702825060944	1.50034937093852	"0.33"
0.04	0.15	4000	0.12	0.5448	1.30583861412842	1.09442146090244	1.57534145478984	"0.12"
0.04	0.15	4000	0.33	0.9932	1.3050568174844	1.14413051113716	1.46265582013971	"0.33"
0.04	0.15	4500	0.12	0.6736	1.30688475283039	1.10972000475231	1.56696043572019	"0.12"
0.04	0.15	4500	0.33	0.999	1.30680088646807	1.16313079407133	1.46746654997553	"0.33"
0.04	0.15	5000	0.12	0.7788	1.30430258293986	1.08945356228498	1.54727815527049	"0.12"
0.04	0.15	5000	0.33	1	1.30541354475503	1.18206596931391	1.47163272405042	"0.33"
0.04	0.15	5500	0.12	0.8582	1.30500027921259	1.08279077811346	1.56323838911138	"0.12"
0.04	0.15	5500	0.33	1	1.30509682603992	1.17716331083902	1.45898046094572	"0.33"
0.04	0.15	6000	0.12	0.912	1.30632472314835	1.13246154259185	1.53845500627908	"0.12"
0.04	0.15	6000	0.33	1	1.30445539465175	1.18352918481441	1.45751900367048	"0.33"
0.04	0.2	3000	0.12	0.038	1.22222831501108	1.01562606597673	1.49940372519414	"0.12"
